,character_list,dialogue_list,episode_code,word_count
126,Aang," This isn't right. A waterbender needs to master water. What about the North Pole? There's another Water Tribe up there, right? Maybe they have waterbenders who could teach you.",101,29.0
127,Katara, Maybe. But we haven't had contact with our sister tribe in a long time. It's not exactly 'turn right at the second glacier.' It's on the other side of the world.,101,31.0
128,Aang, But you forget,101,3.0
129,Katara," That's... ( I mean, I don't know. I've never left home before.",101,12.0
130,Aang," Well, you think about it. But in the meantime, can you teach me to catch one of these penguins?",101,19.0
131,Katara," I haven't done this since I was a kid!  Okay, listen closely my young pupil. Catching penguins is an ancient and sacred art. Observe.",101,24.0
132,Aang, Whoa... what is that?  You still are a kid!,101,9.0
133,Katara," Aang, stop! We're not allowed to go near it. The ship could be booby trapped.  A Fire Navy ship, and a very bad memory for my people.",101,27.0
134,Aang," If you wanna be a bender, you have to let go of fear.",101,13.0
135,Katara, This ship has haunted my tribe since Gran Gran was a little girl. It was part of the Fire Nation's first attacks.,101,22.0
136,Aang," Okay, back up. I have friends all over the world, even in the Fire Nation. I've never seen any war.",101,20.0
137,Katara," Aang, how long were you in that iceberg?",101,8.0
138,Aang," I don't know... a few days, maybe?",101,7.0
139,Katara, I think it was more like a hundred years!,101,9.0
140,Aang, What? That's impossible. Do I look like a hundred-twelve year old man to you?,101,14.0
141,Katara," Think about it. The war is a century old. You don't know about it because, somehow, you were in there that whole time. It's the only explanation.",101,27.0
142,Aang, A hundred years! I can't believe it.,101,7.0
143,Katara," I'm sorry, Aang. Maybe somehow there's a bright side to all this.",101,12.0
144,Aang, I did get to meet you.,101,6.0
145,Katara, Aang? Let's head back. This place is creepy.  Come on. Let's get out of here.,101,15.0
146,Aang, What's that you said about booby traps?  Huh?,101,8.0
147,Zuko, ...as well as his hiding place.  The last airbender.  Quite agile for his old age. Wake my uncle! Tell him I found the Avatar...,101,24.0
148,Children, Yay! Aang's back!,102,3.0
149,Sokka," I knew it! You signaled the Fire Navy with that flare! You're leading them straight to us, aren't you?",102,19.0
150,Katara, Aang didn't do anything. It was an accident.,102,8.0
151,Aang," Yeh, we were on the ship and there was this booby trap and well...  ...we “boobied” right into it.",102,19.0
152,Gran Gran," Katara, you shouldn't have gone on that ship. Now we could all be in danger!",102,15.0
153,Aang, Don't blame Katara! I brought her there.  It's my fault.,102,10.0
154,Sokka," Aha! The traitor confesses! Warriors, away from the enemy!  The foreigner is banned from our village!",102,16.0
155,Katara," Sokka, you're making a mistake.",102,5.0
156,Sokka, No! I'm keeping my promise to Dad. I'm protecting you from threats like him!,102,14.0
157,Katara, Aang is not our enemy! Don't you see? Aang's brought us something we haven't had in a long time. Fun.,102,20.0
158,Sokka, Fun? We can't fight firebenders with fun!,102,7.0
159,Aang, You should try it sometime.,102,5.0
160,Sokka, Get out of our village. Now!,102,6.0
161,Katara," Grandmother, please, don't let Sokka do this.",102,7.0
162,Gran Gran," Katara, you knew going on that ship was forbidden. Sokka is right. I think it best if the airbender leaves.",102,20.0
163,Katara," C'mon, Aang, let's go!  Then I'm banished too!",102,8.0
164,Sokka, Where do you think you're going?,102,6.0
165,Katara, To find a waterbender! Aang is taking me to the North Pole!,102,12.0
166,Aang, I am? Great!,102,3.0
167,Sokka, Katara!  Would you really choose him over your tribe? Your own family?,102,12.0
168,Aang," Katara, I don't want to come between you and your family.",102,11.0
169,Katara," So, you're leaving the South Pole? This is goodbye?",102,9.0
170,Aang, Thanks for penguin sledding with me.,102,6.0
171,Katara, Where will you go?,102,4.0
172,Aang," It was nice meeting everyone.  Guess I'll go back home and look for the airbenders.  Wow, I haven't cleaned my room in a hundred years. Not looking forward to that. ",102,30.0
173,Sokka," Let's see your bison fly now, air boy.",102,8.0
174,Aang," Come on, Appa, you can do it! Yip! Yip!",102,9.0
175,Sokka," Yeh, I thought so.",102,4.0
176,Little Girl, Aang! Don't go! We'll miss you!,102,6.0
177,Aang , I'll miss you too.,102,4.0
178,Aang," Come on, boy..)",102,3.0
179,Gran Gran," Katara, you'll feel better after you –",102,7.0
180,Katara, You happy now? There goes my one chance of becoming a waterbender!,102,12.0
181,Sokka, All right! Ready our defenses! The Fire Nation could be on our shores any moment now!,102,16.0
182,Little Boy," But, I gotta –",102,4.0
183,Sokka, And no potty breaks!,102,4.0
184,Aang," The village!  Appa, wait here!  Yeh, I liked her too.",102,10.0
185,Sokka," Ohhh, man!  Oh man!",102,4.0
186,Katara," Sokka, get out of the way!",102,6.0
187,Zuko, He'd be about this age? Master of all elements?  Where are you hiding him?,102,14.0
188,Little Boy, Show no fear!,102,3.0
189,Aang, Hey Katara. Hey Sokka.,102,4.0
190,Sokka, Hi...Aang. Thanks for comin'.,102,4.0
191,Aang, Looking for me?,102,3.0
192,Zuko, You're the airbender? You're the Avatar?,102,6.0
193,Katara, Aang?,102,1.0
194,Sokka, No way.,102,2.0
195,Zuko, I've spent years preparing for this encounter. Training. Meditating. You're just a child!,102,13.0
196,Aang," If I go with you, will you promise to leave everyone alone?  Well, you're just a teenager.",102,17.0
197,Katara," No, Aang! Don't do this!",102,5.0
198,Aang," Don't worry, Katara, it'll be okay. Take care of Appa for me until I get back.",102,16.0
199,Zuko, Head a course to the Fire Nation. I'm going home.<u,102,10.0
200,Katara," We have to go after that ship, Sokka. Aang saved our tribe; now we have to save him.",102,18.0
201,Sokka," Katara, I—",102,2.0
202,Katara," Why can't you realize that he's on our side? If we don't help him, no one will. I know you don't like Aang, but we owe him and I—",102,29.0
203,Sokka, Katara! Are you gonna talk all day or are you comin' with me?,102,13.0
204,Katara, Sokka!,102,1.0
205,Sokka, Get in. We're going to save your boyfriend.,102,8.0
206,Katara, He's not my—,102,3.0
207,Sokka, Whatever.,102,1.0
208,Gran Gran," You'll need these. You have a long journey ahead of you. It's been so long since I've had hope. But you brought it back to life, my little waterbender.  And you, my brave warrior, be nice to your sister.  What do you two think you're doing? ",102,46.0
209,Sokka," Yeah... okay, Gran.",102,3.0
210,Gran Gran, Aang is the Avatar. He's the world's only chance. You both found him for a reason. Now your destinies are intertwined with his.,102,23.0
211,Katara, Appa!  There's no way we're gonna catch a war ship with a canoe. ,102,13.0
212,Sokka," You just love taking me out of my comfort zone, don't ya?",102,12.0
213,Zuko," This staff will make an excellent gift for my father. I suppose you wouldn't know of fathers, being raised by monks. Take the Avatar to the prison hold. And  take this to my quarters.",102,34.0
214,Iroh," Hey, you mind taking this to his quarters for me?",102,10.0
215,Aang, So... I guess you never fought an airbender before. I bet I can take you both with my hands tied behind my back.,102,23.0
216,Guard 1, Silence!,102,1.0
217,Guard 2, The Avatar has escaped!,102,4.0
218,Sokka, Go. Fly. Soar.,102,3.0
219,Katara," Please, Appa, we need your help. Aang needs your help.",102,10.0
220,Sokka, Up. Ascend. Elevate.,102,3.0
221,Katara," Sokka doesn't believe you can fly, but I do, Appa. Come on. Don't you wanna save Aang?",102,17.0
